OppName,FPI,FPI_diff,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,Rain,1stSeedQB,SchoolBreak,NatlHoliday,TV_Coverage,City,State,Bowl,UNC_Game,Type,Attempts,Yards,AvgYd,TD_Gained,Comp,CompPct,Int,Rating,Touchbacks,TouchbackPct,OutOfBounds,Onside,Fumbles
Pittsburgh,-0.5,-9.5,Grass,11,25,2023,Sat,12,Home,W,30,19,11,17639,0.44,0.788,FALSE,FALSE,TRUE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoff_Returns,0,0,,0,,,,,,,,,
Troy,5.9,-3.1,Turf,12,23,2023,Sat,11,Neutral,W,17,10,7,20023,0.43,0.565,FALSE,FALSE,TRUE,FALSE,ABC,Birmingham,AL,TRUE,FALSE,Kickoff_Returns,0,0,,0,,,,,,,,,
Temple,-11.8,-17.1,Grass,9,2,2022,Fri,19.5,Home,W,30,0,30,20722,0.52,0.771,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,FALSE,Kickoff_Returns,0,0,,0,,,,,,,,,
Northwestern,-7.6,-12.9,Grass,9,10,2022,Sat,12,Away,W,31,23,8,24622,0.52,0.313,FALSE,TRUE,FALSE,FALSE,FS1,Evanston,IL,FALSE,FALSE,Kickoff_Returns,4,74,18.5,0,,,,,,,,,
N.C. A&T,,-5.3,Grass,9,17,2022,Sat,18,Home,W,49,20,29,32802,0.82,,FALSE,TRUE,FALSE,FALSE,ACCNX,Durham,NC,FALSE,FALSE,Kickoff_Returns,4,79,19.75,0,,,,,,,,,
Kansas,3.4,-1.9,Turf,9,24,2022,Sat,12,Away,L,27,35,-8,47233,1,0.258,FALSE,TRUE,FALSE,FALSE,FS1,Lawrence,KS,FALSE,FALSE,Kickoff_Returns,3,76,25.33333333,0,,,,,,,,,
Virginia,-4,-9.3,Grass,10,1,2022,Sat,19.5,Home,W,38,17,21,15152,0.38,0.572,FALSE,TRUE,FALSE,FALSE,ESPN3,Durham,NC,FALSE,FALSE,Kickoff_Returns,4,93,23.25,0,,,,,,,,,
Georgia Tech,-3.5,-8.8,Grass,10,8,2022,Sat,16,Away,L,20,23,-3,32041,0.58,0.542,FALSE,TRUE,TRUE,FALSE,ESPN3,Atlanta,GA,FALSE,FALSE,Kickoff_Returns,2,45,22.5,0,,,,,,,,,
North Carolina,6.2,0.9,Grass,10,15,2022,Sat,20,Home,L,35,38,-3,40004,1,0.336,FALSE,TRUE,FALSE,FALSE,ACCN,Durham,NC,FALSE,TRUE,Kickoff_Returns,1,26,26,0,,,,,,,,,
Miami (Fla.),-0.5,-5.8,Grass,10,22,2022,Sat,12.5,Away,W,45,21,24,57421,0.88,0.244,FALSE,TRUE,FALSE,FALSE,ESPN3,Miami Gardens,FL,FALSE,FALSE,Kickoff_Returns,1,16,16,0,,,,,,,,,
